Id,Bank,Name,Sitz,Land,Verband
243,sparkasse,Kreissparkasse Grafschaft Bentheim zu Nordhorn,Nordhorn,NI,SVN
244,sparkasse,Kreis-Sparkasse Northeim,Northeim,NI,SVN
245,sparkasse,Sparkasse Nürnberg,Nürnberg,BY,SVB
246,sparkasse,Stadtsparkasse Oberhausen,Oberhausen,NW,RSGV
247,sparkasse,Sparkasse Offenbach,Offenbach am Main,HE,SGVHT
248,sparkasse,Sparkasse Offenburg/Ortenau,Offenburg,BW,SVBW
249,sparkasse,Landessparkasse zu Oldenburg,Oldenburg,NI,SVN
250,sparkasse,Sparkasse Olpe-Drolshagen-Wenden,Olpe,NW,SVWL
251,sparkasse,Kreissparkasse Börde,Oschersleben (Bode),ST,OSV
252,sparkasse,Sparkasse Osnabrück,Osnabrück,NI,SVN
253,sparkasse,Sparkasse Osterode am Harz,Osterode am Harz,NI,SVN
254,sparkasse,Sparkasse Uecker-Randow,Pasewalk,MV,OSV
255,sparkasse,Sparkasse Passau,Passau,BY,SVB
256,sparkasse,Sparkasse Pfaffenhofen,Pfaffenhofen an der Ilm,BY,SVB
257,sparkasse,Sparkasse Pforzheim Calw,Pforzheim,BW,SVBW
258,sparkasse,Sparkasse Pfullendorf-Meßkirch,Pfullendorf,BW,SVBW
259,sparkasse,Sparkasse Südwestpfalz,Pirmasens,RP,SVRP
260,sparkasse,Sparkasse Vogtland,Plauen,SN,OSV
261,sparkasse,Vereinigte Sparkasse im Märkischen Kreis,Plettenberg,NW,SVWL
262,sparkasse,Mittelbrandenburgische Sparkasse in Potsdam,Potsdam,BB,OSV
263,sparkasse,Sparkasse Uckermark,Prenzlau,BB,OSV
264,sparkasse,Sparkasse Prignitz,Pritzwalk,BB,OSV
265,sparkasse,Sparkasse Radevormwald-Hückeswagen,Radevormwald,NW,RSGV
266,sparkasse,Stadtsparkasse Rahden,Rahden,NW,SVWL
267,sparkasse,Sparkasse Rastatt-Gernsbach,Rastatt,BW,SVBW
268,sparkasse,Kreissparkasse Ravensburg,Ravensburg,BW,SVBW
269,sparkasse,Sparkasse Vest Recklinghausen,Recklinghausen,NW,SVWL
270,sparkasse,Sparkasse Regen-Viechtach,Regen,BY,SVB
271,sparkasse,Sparkasse Regensburg,Regensburg,BY,SVB
272,sparkasse,Bezirkssparkasse Reichenau,Reichenau,BW,SVBW
273,sparkasse,Stadtsparkasse Remscheid,Remscheid,NW,RSGV
274,sparkasse,Sparkasse Mittelholstein AG,Rendsburg,SH,"Freie Spk.
SGVSH"
275,sparkasse,Kreissparkasse Reutlingen,Reutlingen,BW,SVBW
276,sparkasse,Kreissparkasse Wiedenbrück,Rheda-Wiedenbrück,NW,SVWL
277,sparkasse,Stadtsparkasse Rheine,Rheine,NW,SVWL
278,sparkasse,Sparkasse Meißen,Riesa,SN,OSV
279,sparkasse,Sparkasse Schaumburg,Rinteln,NI,SVN
280,sparkasse,Sparkasse Donnersberg,Rockenhausen,RP,SVRP
281,sparkasse,Sparkasse Rosenheim-Bad Aibling,Rosenheim,BY,SVB
282,sparkasse,OstseeSparkasse Rostock,Rostock,MV,OSV
283,sparkasse,Sparkasse Mittelfranken-Süd,Roth,BY,SVB
284,sparkasse,Kreissparkasse Rottweil,Rottweil,BW,SVBW
285,sparkasse,Kreissparkasse Saalfeld-Rudolstadt,Saalfeld,TH,SGVHT
286,sparkasse,Sparkasse Saarbrücken,Saarbrücken,SL,SVS
287,sparkasse,Kreissparkasse Saarlouis,Saarlouis,SL,SVS
288,sparkasse,Sparkasse Salem-Heiligenberg,Salem,BW,SVBW
289,sparkasse,Sparkasse Altmark West,Salzwedel,ST,OSV
290,sparkasse,Sparkasse St. Blasien,St. Blasien,BW,SVBW
291,sparkasse,Kreissparkasse St. Wendel,St. Wendel,SL,SVS
292,sparkasse,Sparkasse Scheeßel,Scheeßel,NI,SVN
293,sparkasse,Kreissparkasse Saale-Orla,Schleiz,TH,SGVHT
294,sparkasse,Kreissparkasse Schlüchtern,Schlüchtern,HE,SGVHT
295,sparkasse,Sparkasse Wiesental,Schopfheim,BW,SVBW
296,sparkasse,Sparkasse Schwäbisch Hall-Crailsheim,Schwäbisch Hall,BW,SVBW
297,sparkasse,Stadtsparkasse Schwalmstadt,Schwalmstadt,HE,SGVHT
298,sparkasse,Sparkasse im Landkreis Schwandorf,Schwandorf,BY,SVB
299,sparkasse,Stadtsparkasse Schwedt,Schwedt/Oder,BB,OSV
300,sparkasse,Sparkasse Schweinfurt-Haßberge,Schweinfurt,BY,SVB
301,sparkasse,Sparkasse Schwelm-Sprockhövel,Schwelm,NW,SVWL
302,sparkasse,Sparkasse Mecklenburg-Schwerin,Schwerin,MV,OSV
303,sparkasse,Sparkasse Hochfranken,Selb,BY,SVB
304,sparkasse,Sparkasse Langen-Seligenstadt,Seligenstadt,HE,SGVHT
305,sparkasse,Sparkasse Niederlausitz,Senftenberg,BB,OSV
306,sparkasse,Sparkasse Siegen,Siegen,NW,SVWL
307,sparkasse,Hohenzollerische Landesbank Kreissparkasse Sigmaringen,Sigmaringen,BW,SVBW
308,sparkasse,Kreissparkasse Rhein-Hunsrück,Simmern/Hunsrück,RP,SVRP
309,sparkasse,Sparkasse Hegau-Bodensee,Singen,BW,SVBW
310,sparkasse,Stadt-Sparkasse Solingen,Solingen,NW,RSGV
311,sparkasse,Kreissparkasse Soltau,Soltau,NI,SVN
312,sparkasse,Kyffhäusersparkasse Artern-Sondershausen,Sondershausen,TH,SGVHT
313,sparkasse,Sparkasse Sonneberg,Sonneberg,TH,SGVHT
314,sparkasse,Kreissparkasse Stade,Stade,NI,SVN
315,sparkasse,Sparkasse Stade-Altes Land,Stade,NI,SVN
316,sparkasse,Salzlandsparkasse,Staßfurt,ST,OSV
317,sparkasse,Sparkasse Staufen-Breisach,Staufen im Breisgau,BW,SVBW
318,sparkasse,Kreissparkasse Stendal,Stendal,ST,OSV
319,sparkasse,Sparkasse Niederbayern-Mitte,Straubing,BY,SVB
320,sparkasse,Sparkasse Märkisch-Oderland,Strausberg,BB,OSV
321,sparkasse,Kreissparkasse Syke,Syke,NI,SVN
322,sparkasse,Sparkasse Tauberfranken,Tauberbischofsheim,BW,SVBW
323,sparkasse,Sparkasse Hochschwarzwald,Titisee-Neustadt,BW,SVBW
324,sparkasse,Kreissparkasse Traunstein-Trostberg,Traunstein,BY,SVB
325,sparkasse,Sparkasse Trier,Trier,RP,SVRP
326,sparkasse,Kreissparkasse Tübingen,Tübingen,BW,SVBW
327,sparkasse,Kreissparkasse Tuttlingen,Tuttlingen,BW,SVBW
328,sparkasse,Sparkasse Uelzen Lüchow-Dannenberg,Uelzen,NI,SVN
329,sparkasse,Sparkasse Ulm,Ulm,BW,SVBW
330,sparkasse,Sparkasse UnnaKamen,Unna,NW,SVWL
331,sparkasse,Sparkasse Hilden-Ratingen-Velbert,Velbert,NW,RSGV
332,sparkasse,Kreissparkasse Verden,Verden (Aller),NI,SVN
333,sparkasse,Sparkasse Schwarzwald-Baar,Villingen-Schwenningen,BW,SVBW
334,sparkasse,Kreissparkasse Waiblingen,Waiblingen,BW,SVBW
335,sparkasse,Sparkasse Hochrhein,Waldshut-Tiengen,BW,SVBW
336,sparkasse,Kreissparkasse Fallingbostel in Walsrode,Walsrode,NI,SVN
337,sparkasse,Müritz-Sparkasse,Waren (Müritz),MV,OSV
338,sparkasse,Kreis- und Stadtsparkasse Wasserburg am Inn,Wasserburg am Inn,BY,SVB
339,sparkasse,Stadtsparkasse Wedel,Wedel,SH,SGVSH
340,sparkasse,Sparkasse Oberpfalz Nord,Weiden in der Oberpfalz,BY,SVB
341,sparkasse,Sparkasse Markgräflerland,Weil am Rhein,BW,SVBW
342,sparkasse,Kreissparkasse Weilburg,Weilburg,HE,SGVHT
343,sparkasse,Sparkasse Oberland,Weilheim in Oberbayern und Schongau,BY,SVB
344,sparkasse,Stadtsparkasse Wermelskirchen,Wermelskirchen,NW,RSGV
345,sparkasse,Harzsparkasse,Wernigerode,ST,OSV
346,sparkasse,Niederrheinische Sparkasse RheinLippe,Wesel,NW,RSGV
347,sparkasse,Sparkasse Wetzlar,Wetzlar,HE,SGVHT
